"id_song","name_song","count_p","author","id_folder","one_voice","actual","note","views"
"299","Wieczornica kolędowa","22","Hoffman A.","59","0","0",,"81"
"300","Gdy się Chrystus rodzi","80","Nowowiejski F. ","10","0","0",,"79"
"301","Z narodzenia Pana","47","Maklakiewicz J.","10","0","0",NULL,"79"
"302","Mizerna, cicha","42","Szulik M.R.","10","0","0",,"63"
"303","Jezus Malusieńki","43","Szulik M.R.","10","0","0",,"74"
"304","W żłobie leży","66","Maklakiewicz J. ","10","0","0",,"80"
"305","Pod Twoją obroną","18","Hoffman A.","60","0","0",,"80"
"306","Błękitne rozwińmy sztandary","25","Hoffman A.","60","0","0",,"76"
"307","Maria, Mater gratiae","29","Faure G.","60","0","0",NULL,"74"
"308","Bogarodzica","18","Hoffman A.","60","0","0",,"75"
"310","Ave vera virginitas","65","des Prez J.","61","0","0",,"74"
"311","Ave Maria","52","Arcadelt J.","61","0","0",,"80"
"312","Ave Maris Stella","51","Anerio F.","61","0","0",NULL,"74"
"313","Ave Mundi Spes","51","Gorczycki G.G.","61","0","0",NULL,"80"
"314","Anioł Pański","56","Maklakiewicz J.","62","0","0",,"80"
"315","Omni Die","74","Gorczycki G.G.","62","0","0",NULL,"133"
"316","Wszystkie Trony","59","Surzyński J.","62","0","0",,"76"
"317","Bogarodzica","66","Żukowski J.","62","0","0",,"71"
"318","O gloriosa Domina","41","Zieleński M.","62","0","0",,"64"
"321","Nitida Stella","67","Gemmani M.","63","0","0",,"76"
"322","O Matko miłościwa","42","Sykulski J.","63","0","0",,"74"
"323","Magnificat in G","42","Szulik M.R.","63","0","0",,"74"
"324","Hymn na Zwiastowanie","55","Surzyński J.","63","0","0",,"84"
"325","Zdrowaś bądź Maryja","45","Górecki H.M. ","64","0","0",,"178"
"326","Ave maris stella","67","Bardos L.","64","0","0",NULL,"74"
"327","Tota pulchra es","23","Bruckner A.","64","0","0",,"79"
"328","Ave Maria","34","Liszt F.","16","0","0",,"79"
"329","Salve Mater misericordiae","49","Szulik M.R.","16","0","0",,"81"
"330","Jam non dicam","14","Hoffman A.","65","0","0",,"73"
"331","Boże ze mną bądź","52","Rutter J./Szulik M.R.","65","0","0",,"77"
"332","Modlitwa o pokój","60","Blacha N.","65","0","0",,"79"
"333","Precamini felicitatem","56","Wood Ch.","65","0","0",,"73"
"334","Sacerdos et Pontifex","52","Hoffman A.","65","0","0","2 strony","79"
"335","Sacerdos et Pontifex","62","Wildor Ch. M.","65","0","0","6 stron","77"
"336","Signore delle cime","40","Marzi G.","66","0","0",,"73"
"337","Evangelio obedientia a capp.","39","Szulik M.R.","66","0","0","KrÃ³tkie","65"
"340","Evangelio obedientia org.","45","Szulik M.R.","74","0","0","DÅ‚ugie","77"
"342","Obdarz pokojem","60","Mendelssohn-Bartholdy F. /Szulik M.R.","67","0","0",,"75"
"343","Cantique de Jean Racine, op. 11","29","Faure G./Szulik M.R.","67","0","0",,"74"
"344","Bóg wszechmocny panuje","79","Wood Ch./Szulik M.R.","67","0","0",,"64"
"345","Christus vincit","65","Peeters F.","67","0","0",,"69"
"348","Veni Domine","69","Mendelssohn-Bartholdy F. ","68","0","0",,"79"
"349","Emitte Spiritum","33","Habert J.","69","0","0",,"77"
"350","Cecylio, panno Śpiewna","43","Szczepański A.","69","0","0",,"86"
"351","Non nobis Domine","85","Doyle P.","69","0","0",NULL,"85"
